latradio0001.wav | ở chỗ sâu nhất trong kiến trúc này.
latradio0002.wav | trong một vùng không gian hư vô tràn ngập ánh sáng màu lục.
"latradio0003.wav | một đạo ánh sáng màu lục này, nếu mà nhìn kỹ á, có thể thấy rất nhiều hồn phách của những con bọ cạp màu lục."
"latradio0004.wav | ở chỗ sâu nhất trong kiến trúc này. Trong một vùng không gian hư vô tràn ngập ánh sáng màu lục. Một đạo ánh sáng màu lục này, nếu mà nhìn kỹ á, có thể thấy rất nhiều hồn phách của những con bọ cạp màu lục."
"latradio0005.wav | chúng ngưng tụ trong không gian này, không ngừng phát ra tiếng gầm thét kinh hồn."
"latradio0006.wav | thân thể Vương Lâm ngồi trong không gian màu lục này, không hề nhúc nhích."
latradio0007.wav | nhưng mà trên thân thể của hắn đang từ từ ngưng tụ ra.
latradio0008.wav | vô số bọ cạp màu lục.
latradio0009.wav | bao trùm hơn phân nữa thân thể hắn.
latradio0010.wav | thân thể hắn tuy bất động.
